,conversation_text,sentiment
0,companyx এজেন্ট থেক রং নাম্বারে টাকা গাল ফেরত নেওয় কোন উপায় আছ বিদ্র জিডি কর হয়ছেয কাছ টাকা গেছ তার ফোন বন্দ্ব,neutral
1,companyx গ্রাহক জন্য খুব দুঃখ জনক এক খবর…… মোবাইল নিষিদ্ধ মোবাইল নিষিদ্ধ আপনি যদি companyx গ্রাহক হয় থাক অবশ্য সর্তকত সাথে থাকুন কারন যে কোন সময় companyxে ক্যাশআউট কর বন্ধ হয় যেত পারে তাই নিজ কাষ্ট টাকা রাখুন নিরাপদে ,negative
2,companyx গ্রাহক জন্য খুব দুঃখ জনক এক খবর…… মোবাইল নিষিদ্ধ মোবাইল নিষিদ্ধ আপনি যদি companyx গ্রাহক হয় থাক অবশ্য সর্তকত সাথে থাকুন কারন যে কোন সময় companyxে ক্যাশআউট কর বন্ধ হয় যেত পারে তাই নিজ কাষ্ট টাকা রাখুন নিরাপদে,negative
3,banky ব্যাংক যখন ঘোষনা দিয় যে কার্ড দিয়ে ক্যাশ উত্তোলন বন্ধ তেমনি ভাবে আব যে কোন সময় companyx ক্যাশআউট বন্ধ করে দিত পারে কারন companyx মূল মালিক banky ব্যাংক ,negative
4,banky ব্যাংক যখন ঘোষনা দিয় যে কার্ড দিয়ে ক্যাশ উত্তোলন বন্ধ তেমনি ভাবে আব যে কোন সময় companyx ক্যাশআউট বন্ধ করে দিত পারে কারন companyx মূল মালিক banky ব্যাংক ,negative
5,একাউন্ট রক্ষার্থে ফেস রিকগনিশন এবং ফিঙ্গ প্রিন্ট নিত হয় তাও এক মোবাইল ব্যাংকিং যা কখন শুনি নাই অথচ সংশিষ্ট companyx নতুন ফিচ গ্রাহক থেক ফেস রিকগনিশন এবং ফিঙ্গ প্রিন্ট নেয় যার মধ্যে আম দ্বিধা কাজ কর কারণ যার পরিচয়পত্র নিয়ে প্রতারণা কর গ্রাহক টাকা সিকিউরি দিত পায় না তার এই তথ্য নেওয়া কত যুক্তিগত যদি এই ডাটা companyx প্রতারক হাত পরবে এর তো যে কোন ধরন অবৈধ কাজ কর পারবে তখন এর দায়ভ কে নিবে,negative
6,যে কোন সময় বন্ধ হত পারে companyx এর ক্যাশ আউট,negative
7,যে কোন সময় বন্ধ হত পারে companyx এর ক্যাশ আউট,negative
8,বিজনেস স্ট্যান্ডার্ড খবরে দেখ banky ব্যাংক দেশের বাইরে কার্ড দিয়ে ক্যাশ ওঠানো বন্ধ করে দিয় হঠাৎ এই ঘোষণা আস কারণ কী যতদূর জানি অন্য কোন ব্যাঙ্ এমন কোন ঘোষণা আসে নি শুধু banky থাক এস banky এতদিন ধরে ভাব এসে যথেষ্ট ট্রাস্টেড এক ব্যাংক তবে এর সাথে থাকা companyx নিয়ে অনেক কথা শোনা যায় companyx মাধ্যমে হুন্ডি চক্র কথা প্রায় খবরে দেখি আম ধারণা companyx কারণে banky ফান্ড ক্রাইস শুরু হয় যার কারণে এমন সিদ্ধান্ত নিত বাধ্য হয় banky এছাড়া ডল ক্রাইসিস সময় companyx বড় বড় বিদেশি স্পন্সরশিপ ঘটনা দেখ এই বছর আর্জেন্টিনা দল স্পনসর ভারতীয় শিল্পীর কনসার্ট স্পনসর এইসব কারণে মনে হচ্ banky এখন চাপে আছে,negative
9,আচ্ছা companyx সিম অন্য মোবাইলে রাখ এ্যাপ্স মাধ্যমে লেনদেন কর কোন অপশন আছ,neutral
10,বিজনেস স্ট্যান্ডার্ড খবরে দেখ banky ব্যাংক দেশের বাইরে কার্ড দিয়ে ক্যাশ ওঠানো বন্ধ করে দিয় হঠাৎ এই ঘোষণা আস কারণ কী যতদূর জানি অন্য কোন ব্যাঙ্ এমন কোন ঘোষণা আসে নি শুধু banky থাক এস banky এতদিন ধরে ভাব এসে যথেষ্ট ট্রাস্টেড এক ব্যাংক তবে এর সাথে থাকা companyx নিয়ে অনেক কথা শোনা যায় companyx মাধ্যমে হুন্ডি চক্র কথা প্রায় খবরে দেখি আম ধারণা companyx কারণে banky ফান্ড ক্রাইস শুরু হয় যার কারণে এমন সিদ্ধান্ত নিত বাধ্য হয় banky এছাড়া ডল ক্রাইসিস সময় companyx বড় বড় বিদেশি স্পন্সরশিপ ঘটনা দেখ এই বছর আর্জেন্টিনা দল স্পনসর ভারতীয় শিল্পীর কনসার্ট স্পনসর এইসব কারণে মনে হচ্ banky এখন চাপে আছে,negative
